mode,load,0_densenet121-2,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,0.8,5521.963882446289,4789.7995710372925,617.667818069458
mps-uncap,0.9,12691.26009941101,9958.992862701416,8068.831086158752
mps-uncap,1.0,15854.390525817871,15643.865013122559,10119.986605644226
mps-uncap,0.5,38.526082038879395,56.9063663482666,53.1517744064331
mps-uncap,0.6,89.16285037994385,98.76403808593749,91.61298274993896
mps-uncap,0.7,658.6230039596558,338.07642459869385,196.0056066513061
mps-uncap,0.1,9.890913963317871,10.867595672607427,14.556646347045898
mps-uncap,0.2,11.111474037170414,13.92979621887207,14.812660217285158
mps-uncap,0.3,14.493656158447264,18.478298187255866,21.439623832702647
mps-uncap,0.4,23.1694221496582,31.386446952819828,29.705953598022496
