mode,load,0_densenet121-2,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,0.8,6322.160243988037,5149.599552154541,893.9030170440674
mps-uncap,0.9,14018.1725025177,11032.91130065918,8870.866775512695
mps-uncap,1.0,17960.76798439026,17175.2610206604,11261.51728630066
mps-uncap,0.5,164.3812656402588,195.01042366027832,201.3862133026123
mps-uncap,0.6,232.50555992126465,213.85574340820312,249.03488159179688
mps-uncap,0.7,826.3430595397949,511.9600296020508,410.9325408935547
mps-uncap,0.1,52.434444427490234,63.04454803466797,58.12978744506836
mps-uncap,0.2,47.028541564941406,59.29398536682129,61.731576919555664
mps-uncap,0.3,68.37344169616699,83.01520347595215,104.0639877319336
mps-uncap,0.4,114.63642120361328,117.91849136352539,125.77366828918457
