mode,load,0_squeezenet1_1-4,1_vgg13-4,2_vgg13-8
mps-uncap,0.8,7.705602645874027,7.3920607566833505,7.085940837860107
mps-uncap,0.9,7.99243450164795,7.636785507202148,7.214326858520508
mps-uncap,1.0,8.34640502929686,7.936358451843253,7.371253967285158
mps-uncap,0.5,6.33009672164917,6.627607345581055,6.694450378417966
mps-uncap,0.6,6.777775287628174,6.715631484985352,6.760709285736082
mps-uncap,0.7,7.217130661010741,7.022356986999512,6.989424228668213
mps-uncap,0.1,4.449892044067388,5.8856606483459455,6.177096366882325
mps-uncap,0.2,5.173082351684577,6.265571117401124,6.318759918212889
mps-uncap,0.3,6.04827880859375,6.353700160980225,6.4344310760498065
mps-uncap,0.4,6.4519405364990225,6.545586585998536,6.511569023132324
