mode,load,0_alexnet-32,1_mobilenet_v3_small-32,2_squeezenet1_1-4
mps-uncap,1.0,5.307435989379883,8.163211345672607,4.734992980957031
mig,1.0,6.599783897399902,8.640336990356445,2.2885799407958984
