mode,load,0_resnet152-16,1_resnet152-4,2_squeezenet1_1-8
mps-uncap,0.6,306.69973916020086,149.94166054944597,1433.246928986641
mig,0.6,300.0039188008366,152.07249321048474,1416.8682473372078
mps-uncap,0.7,356.3276420975299,178.5726066224883,1648.875818972868
mig,0.7,354.67248410563496,182.8887594304949,1638.6186665614891
mps-uncap,0.8,421.0907428683076,204.53204900797937,1857.9899586532129
mig,0.8,420.9951806732627,202.74348208022104,1894.2249258479967
mps-uncap,0.9,460.0374316129285,229.05808043244681,2126.800565076445
mig,0.9,476.56122090604,233.62375123162332,2115.6846464636037
mps-uncap,1.0,530.4061479196904,215.7644580491503,2405.6461033049372
mig,1.0,517.325253265966,255.73603313923152,2320.5281827357367
mps-uncap,1.1,560.05202374304,229.74041678918448,2412.7171178437907
mig,1.1,518.0757875924742,256.461312310245,2402.27024482288
mps-uncap,1.2,614.3605556628036,199.13542570197257,2298.113103667844
mig,1.2,518.2227820690152,257.35060806527764,2400.1576787879317
mps-uncap,1.3,623.1179540390817,220.79122483396844,2188.632186118138
mig,1.3,516.6175747404545,256.0664658445466,2372.06974296111
