mode,load,0_efficientnet_b6-2,1_resnet101-2,2_squeezenet1_0-32
mps-uncap,0.8,9.98067855834961,4.909276962280273,5.561351776123047
mps-uncap,0.9,10.013818740844727,4.9896240234375,5.572795867919922
mps-uncap,1.0,10.662317276000977,5.090475082397461,5.587339401245117
mps-uncap,0.5,9.984970092773438,4.964590072631836,5.5694580078125
mps-uncap,0.6,9.977102279663086,4.877805709838867,5.574464797973633
mps-uncap,0.7,10.034322738647461,4.940509796142578,5.561590194702148
mps-uncap,0.1,10.0555419921875,5.008935928344727,5.587339401245117
mps-uncap,0.2,9.968996047973633,5.084514617919922,5.590915679931641
mps-uncap,0.3,9.875774383544922,5.114316940307617,5.588531494140625
mps-uncap,0.4,9.840726852416992,5.03849983215332,5.587577819824219
