mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,36.388397216796875,127.7613639831543,92.83804893493652
mig,0.6,64.39018249511719,260.6077194213867,185.67752838134766
mps-uncap,0.7,47.56355285644531,104.18128967285156,104.27331924438477
mig,0.7,89.07914161682129,340.32273292541504,260.4334354400635
mps-uncap,0.8,54.67104911804199,169.88372802734375,186.4023208618164
mig,0.8,129.07743453979492,638.0834579467773,414.7834777832031
mps-uncap,0.9,123.66604804992676,269.4222927093506,215.84486961364746
mig,0.9,272.2735404968262,1000.6053447723389,372.0555305480957
mps-uncap,1.0,400.9864330291748,267.3952579498291,228.4679412841797
mig,1.0,978.7743091583252,2114.107608795166,1106.2121391296387
mps-uncap,1.1,7718.356370925903,521.8338966369629,444.78774070739746
mig,1.1,8191.8628215789795,10166.117191314697,6888.743877410889
mps-uncap,1.2,14396.399974822998,7536.685466766357,7877.570867538452
mig,1.2,14351.192951202393,16936.74325942993,13819.443941116333
mps-uncap,1.3,25328.036069869995,1592.236042022705,12155.20977973938
mig,1.3,18916.095972061157,19732.540130615234,20595.457792282104
