mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,4.837751388549805,23.241043090820312,18.58973503112793
mig,0.6,7.596611976623535,48.88629913330078,39.037466049194336
mps-uncap,0.7,5.521297454833984,24.332761764526367,21.669745445251465
mig,0.7,8.996725082397461,60.34719944000244,49.72958564758301
mps-uncap,0.8,6.286025047302246,29.280662536621094,25.12538433074951
mig,0.8,12.414693832397461,86.74132823944092,65.01173973083496
mps-uncap,0.9,10.525226593017578,31.398534774780273,31.764984130859375
mig,0.9,19.959449768066406,112.55741119384766,76.9730806350708
mps-uncap,1.0,41.39256477355957,57.768821716308594,34.18779373168945
mig,1.0,164.27969932556152,558.2243204116821,508.00228118896484
mps-uncap,1.1,2954.151153564453,113.55173587799072,68.04704666137695
mig,1.1,3369.551658630371,4256.5436363220215,3538.3450984954834
mps-uncap,1.2,6886.6753578186035,3044.0951585769653,4089.702367782593
mig,1.2,6454.565525054932,7715.005040168762,6378.626823425293
mps-uncap,1.3,12649.432182312012,491.3884401321411,6312.894821166992
mig,1.3,8675.251007080078,9578.90260219574,9072.349071502686
