mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,8.647985458374045,31.33110523223877,23.21603536605835
mig,0.6,7.720916271209717,38.83890151977538,29.18827533721924
mps-uncap,0.7,8.541326522827148,28.381123542785645,25.905969142913822
mig,0.7,7.650709152221679,38.60247611999512,29.164090156555176
mps-uncap,0.8,8.231987953186037,32.83787727355956,26.015703678131104
mig,0.8,7.651615142822265,38.76732587814331,29.330973625183113
mps-uncap,0.9,8.717126846313482,28.760614395141605,26.50996685028076
mig,0.9,7.558753490448,38.30134391784668,28.929264545440674
mps-uncap,1.0,8.47172737121582,33.37860584259034,23.66328239440918
mig,1.0,7.03481674194336,38.30589056015015,28.87649059295654
mps-uncap,1.1,8.428096771240234,33.193020820617676,23.749370574951172
mig,1.1,6.657190322875985,37.92652606964111,28.581395149230957
mps-uncap,1.2,7.973222732543944,32.91592836380005,26.620936393737793
mig,1.2,6.454846858978273,38.04940223693847,28.478317260742188
mps-uncap,1.3,8.551344871520996,28.734421730041504,26.337270736694336
mig,1.3,7.062144279479982,38.3336615562439,28.712527751922607
