mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,15.716202259063724,53.39436054229734,37.35289812088015
mig,0.6,26.744184494018537,136.59666061401333,106.1708927154541
mps-uncap,0.7,21.671686172485348,50.42617321014403,58.574411869049214
mig,0.7,41.2379074096679,253.03462982177732,194.58548307418857
mps-uncap,0.8,27.520205974578868,82.35247611999502,100.05975484848017
mig,0.8,74.16260242462124,472.26055145263666,317.187557220459
mps-uncap,0.9,68.4598350524903,141.39416694641116,121.98113918304477
mig,0.9,227.69238471984883,884.7896718978883,252.32959032058722
mps-uncap,1.0,293.879246711731,174.23922538757333,145.10869979858398
mig,1.0,880.4740762710572,1990.2814507484436,1001.8587827682493
mps-uncap,1.1,7611.172871589661,407.5382089614868,317.74822235107433
mig,1.1,8125.2184867858905,9854.928946495056,6530.346465110778
mps-uncap,1.2,14210.979509353636,7290.612747669221,7752.918601036072
mig,1.2,14216.789381504059,16736.10281944275,13498.015813827515
mps-uncap,1.3,24990.924468040466,1510.349225997925,11980.82673072815
mig,1.3,18675.343770980835,19499.055745601654,20258.10921907425
