mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,1815.3467584393982,276.10334548677275,173.19964375780148
mig,0.6,1860.854820942337,259.52317028631677,178.86802793657162
mps-uncap,0.7,2173.982875454207,319.0604847773508,202.62315391679252
mig,0.7,2147.421850647224,305.38967519533026,210.16161936811864
mps-uncap,0.8,2427.9876950776907,356.1464018751787,235.1646354856371
mig,0.8,2480.964104012294,356.2855123872285,236.3547906092084
mps-uncap,0.9,2769.3275683248453,412.99486065264597,263.2283936222992
mig,0.9,2727.0486790406662,396.2664087458032,253.68664834252027
mps-uncap,1.0,3136.356853311893,441.98539713062934,290.3338671545907
mig,1.0,3038.513061486929,440.079805860256,283.9367474129808
mps-uncap,1.1,3068.8374847351993,489.02199533584434,328.3620207826653
mig,1.1,3088.487004695555,448.77832674044026,293.66492262632175
mps-uncap,1.2,3101.4003481876384,512.854858178753,322.1384553820863
mig,1.2,3086.8491631402094,448.105767033215,293.7400470352769
mps-uncap,1.3,2845.771990622029,573.5193678916163,324.9820829915209
mig,1.3,3087.762758277625,445.9135922751349,292.5142331987606
