mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,3.723025321960449,19.85764503479004,16.6170597076416
mig,0.6,4.948139190673828,35.41421890258789,26.89671516418457
mps-uncap,0.7,3.7691593170166016,20.125508308410645,17.49253273010254
mig,0.7,4.947900772094727,35.309553146362305,26.881694793701172
mps-uncap,0.8,3.892064094543457,23.192644119262695,17.987608909606934
mig,0.8,4.9610137939453125,35.32552719116211,26.907682418823242
mps-uncap,0.9,4.377126693725586,23.885250091552734,20.028352737426758
mig,0.9,4.990816116333008,35.31646728515625,26.965618133544922
mps-uncap,1.0,4.722833633422852,29.469966888427734,20.347952842712402
mig,1.0,5.028247833251953,35.391926765441895,27.129411697387695
mps-uncap,1.1,5.03385066986084,30.75730800628662,21.596431732177734
mig,1.1,5.045175552368164,35.408973693847656,27.125120162963867
mps-uncap,1.2,4.852771759033203,31.012535095214844,25.229692459106445
mig,1.2,5.040645599365234,35.483360290527344,27.120351791381836
mps-uncap,1.3,5.292177200317383,27.350783348083496,24.93119239807129
mig,1.3,5.025625228881836,35.43353080749512,27.152538299560547
