mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,5.867457389831543,27.09732055664063,20.486140251159668
mig,0.6,6.183457374572755,37.29300498962402,28.085947036743164
mps-uncap,0.7,5.994272232055666,25.920510292053223,23.23164939880371
mig,0.7,5.993080139160158,37.18972206115723,28.0306339263916
mps-uncap,0.8,5.804133415222169,30.157041549682617,24.21364784240723
mig,0.8,5.94329833984375,37.24958896636963,28.032159805297855
mps-uncap,0.9,6.506586074829102,27.046346664428707,24.970149993896484
mig,0.9,5.896544456481934,36.84639930725098,27.863025665283203
mps-uncap,1.0,6.540250778198243,31.967544555664062,22.756218910217285
mig,1.0,5.749320983886719,36.772966384887695,27.742433547973633
mps-uncap,1.1,6.808924674987794,32.32221603393555,23.040485382080078
mig,1.1,5.467510223388672,36.34204864501953,27.64263153076172
mps-uncap,1.2,6.608533859252931,32.186150550842285,26.08203887939453
mig,1.2,5.519604682922364,36.29958629608154,27.62141227722168
mps-uncap,1.3,7.170867919921876,27.96626091003418,25.7596492767334
mig,1.3,5.861520767211914,36.82427406311035,27.81550884246826
