mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,32.18841552734375,104.156494140625,71.67291641235352
mig,0.6,59.56840515136719,225.82316398620605,158.78844261169434
mps-uncap,0.7,43.65086555480957,82.92245864868164,86.51399612426758
mig,0.7,83.21285247802734,302.37507820129395,233.80565643310547
mps-uncap,0.8,49.88837242126465,137.33625411987305,168.47991943359375
mig,0.8,119.15206909179688,603.2500267028809,387.53604888916016
mps-uncap,0.9,118.35074424743652,245.45955657958984,191.45607948303223
mig,0.9,267.3156261444092,963.4106159210205,345.1557159423828
mps-uncap,1.0,395.8415985107422,238.5411262512207,210.30902862548828
mig,1.0,973.5288619995117,2078.0415534973145,1078.79638671875
mps-uncap,1.1,7713.550329208374,493.7574863433838,421.97418212890625
mig,1.1,8186.827898025513,10130.843162536621,6861.623764038086
mps-uncap,1.2,14392.228603363037,7509.549140930176,7852.094650268555
mig,1.2,14344.910383224487,16901.34286880493,13792.370080947876
mps-uncap,1.3,25317.98553466797,1565.065622329712,12130.793809890747
mig,1.3,18908.271551132202,19697.505950927734,20568.490028381348
