mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,6.220793724060059,21.2120056152344,17.755246162414558
mig,0.6,12.069916725158693,71.58989906311037,54.87203598022461
mps-uncap,0.7,9.265756607055666,23.913550376892086,24.56283569335938
mig,0.7,16.791486740112305,122.3396778106689,94.52009201049806
mps-uncap,0.8,12.137651443481449,37.482357025146484,42.226672172546394
mig,0.8,27.524948120117188,218.65127086639436,157.3161602020264
mps-uncap,0.9,27.038145065307617,58.64291191101073,57.13176727294922
mig,0.9,82.22532272338866,411.83810234069836,158.48815441131592
mps-uncap,1.0,152.41041183471683,104.50406074523929,59.78119373321533
mig,1.0,714.7195339202881,1549.6606826782227,808.665370941162
mps-uncap,1.1,6850.614404678345,277.05485820770264,169.55332756042486
mig,1.1,7492.193651199341,8776.832103729248,6043.773460388184
mps-uncap,1.2,13100.664567947388,6405.226111412048,7392.766523361206
mig,1.2,13151.070284843445,14588.78574371338,11977.06618309021
mps-uncap,1.3,22467.410039901733,1328.4825086593628,11107.938432693481
mig,1.3,17162.638378143314,17888.9417886734,17584.647345542908
