mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,2.4063587188720703,16.585588455200195,14.778614044189453
mig,0.6,4.662275314331055,34.67416763305664,26.526212692260742
mps-uncap,0.7,2.425670623779297,16.828536987304688,15.09237289428711
mig,0.7,4.657506942749023,34.66606140136719,26.56102180480957
mps-uncap,0.8,2.411365509033203,16.65329933166504,14.812231063842773
mig,0.8,4.649639129638672,34.6064567565918,26.511430740356445
mps-uncap,0.9,2.4232864379882812,16.941070556640625,15.063285827636719
mig,0.9,4.666805267333984,34.66677665710449,26.59916877746582
mps-uncap,1.0,2.4900436401367188,16.71457290649414,15.129327774047852
mig,1.0,4.670858383178711,34.80648994445801,26.575326919555664
mps-uncap,1.1,2.5038719177246094,20.066499710083008,15.31529426574707
mig,1.1,4.677295684814453,34.84487533569336,26.706218719482422
mps-uncap,1.2,2.671957015991211,21.691083908081055,15.248298645019531
mig,1.2,4.814386367797852,35.00509262084961,26.71337127685547
mps-uncap,1.3,3.482341766357422,23.86617660522461,16.421079635620117
mig,1.3,4.683732986450195,34.947872161865234,26.68619155883789
