mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,2.4368762969970703,16.67189598083496,14.870405197143555
mig,0.6,4.680633544921875,34.69276428222656,26.62038803100586
mps-uncap,0.7,2.44140625,16.94512367248535,15.16270637512207
mig,0.7,4.674196243286133,34.68751907348633,26.601076126098633
mps-uncap,0.8,2.4471282958984375,16.716957092285156,14.874696731567383
mig,0.8,4.675626754760742,34.74855422973633,26.623010635375977
mps-uncap,0.9,2.4542808532714844,17.040014266967773,15.16413688659668
mig,0.9,4.68897819519043,34.70182418823242,26.618242263793945
mps-uncap,1.0,2.599477767944336,16.901016235351562,15.27094841003418
mig,1.0,4.837274551391602,34.909725189208984,26.59463882446289
mps-uncap,1.1,3.7984848022460938,21.459579467773438,15.515804290771484
mig,1.1,4.980564117431641,34.99555587768555,26.74126625061035
mps-uncap,1.2,2.6998519897460938,23.844003677368164,24.790525436401367
mig,1.2,4.966020584106445,35.42757034301758,28.565168380737305
mps-uncap,1.3,4.405021667480469,24.541139602661133,16.649246215820312
mig,1.3,4.968404769897461,35.04157066345215,26.795625686645508
