mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,13.229846954345703,33.937931060791016,27.15897560119629
mig,0.6,17.264842987060547,40.35162925720215,33.34760665893555
mps-uncap,0.7,13.1988525390625,30.680418014526367,28.254985809326172
mig,0.7,9.988784790039062,50.9335994720459,38.04373741149902
mps-uncap,0.8,13.189077377319336,36.64684295654297,30.586719512939453
mig,0.8,15.239953994750977,40.39430618286133,32.90104866027832
mps-uncap,0.9,23.39005470275879,32.254695892333984,30.739545822143555
mig,0.9,17.247915267944336,50.49633979797363,41.3365364074707
mps-uncap,1.0,15.998125076293945,42.428016662597656,29.562711715698242
mig,1.0,13.666629791259766,44.762372970581055,35.29763221740723
mps-uncap,1.1,19.150972366333008,43.871164321899414,32.46879577636719
mig,1.1,17.82369613647461,47.9733943939209,36.97371482849121
mps-uncap,1.2,14.931201934814453,45.057058334350586,38.613080978393555
mig,1.2,18.135547637939453,43.276309967041016,37.507057189941406
mps-uncap,1.3,18.190860748291016,37.871360778808594,35.264015197753906
mig,1.3,18.41115951538086,49.1032600402832,36.995887756347656
