mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,20.541059970855766,74.36176776885978,53.966372013092055
mig,0.6,32.23625421524046,172.75805473327605,133.78727436065674
mps-uncap,0.7,26.481361389160153,72.01404571533203,76.43634796142578
mig,0.7,46.58724784851073,288.67456436157215,221.34529829025303
mps-uncap,0.8,31.838614940643343,106.50601863861077,116.36077404022215
mig,0.8,80.18703460693335,508.4360933303833,344.47139263153076
mps-uncap,0.9,73.34708213806164,167.8296279907227,146.3533020019534
mig,0.9,233.0424165725709,921.0810089111329,279.5173645019532
mps-uncap,1.0,299.27676200866745,203.05021286010745,164.75623846054077
mig,1.0,885.525712966919,2025.7602334022522,1029.1226243972778
mps-uncap,1.1,7615.599765777588,437.6429891586301,338.4700632095337
mig,1.1,8130.344858169556,9890.351305007935,6557.485952377319
mps-uncap,1.2,14215.428924560545,7321.684572696687,7778.551774024963
mig,1.2,14221.941061019897,16771.799807548523,13525.211391448975
mps-uncap,1.3,24997.11787223816,1537.9708766937256,12005.805349349976
mig,1.3,18680.25227069855,19534.861478805542,20285.47826051712
