mode,load,0_resnet18-16,1_densenet169-16,2_efficientnet_b5-8
mps-uncap,0.6,0.011444091796875,0.014066696166992188,0.014781951904296875
mig,0.6,0.011205673217773438,0.014066696166992188,0.013828277587890625
mps-uncap,0.7,0.010967254638671875,0.014066696166992188,0.013828277587890625
mig,0.7,0.010967254638671875,0.014066696166992188,0.014066696166992188
mps-uncap,0.8,0.011444091796875,0.014543533325195312,0.014066696166992188
mig,0.8,0.011205673217773438,0.014543533325195312,0.014066696166992188
mps-uncap,0.9,0.011444091796875,0.01430511474609375,0.014781951904296875
mig,0.9,0.011205673217773438,0.015020370483398438,0.014543533325195312
mps-uncap,1.0,0.011205673217773438,0.011920928955078125,0.014066696166992188
mig,1.0,0.0133514404296875,0.01430511474609375,0.015020370483398438
mps-uncap,1.1,0.015020370483398438,0.014781951904296875,0.014066696166992188
mig,1.1,0.014066696166992188,0.019311904907226562,0.023365020751953125
mps-uncap,1.2,0.013589859008789062,0.0152587890625,0.017881393432617188
mig,1.2,0.014543533325195312,0.016689300537109375,0.027894973754882812
mps-uncap,1.3,0.016450881958007812,0.014781951904296875,0.01811981201171875
mig,1.3,0.0152587890625,0.017881393432617188,0.015735626220703125
