mode,load,0_mobilenet_v2-16,1_mobilenet_v2-16
mig,0.1,327.68229129646164,320.70040080931994
mig,0.2,637.6658005998294,630.9849493647405
mig,0.3,974.9508225606154,943.6971468070491
mig,0.4,1287.4890176975744,1262.1375305568845
mig,0.5,1628.7877359668432,1582.9042209114225
mig,0.6,1870.8646208411924,1895.192046448531
mig,0.7,2209.0054655408994,2223.092290472007
mig,0.8,2569.372863080096,2534.048798764947
mig,0.9,2900.7861029425385,2831.7446821154367
mig,1.0,2944.4700533346727,3233.5238965639232
