mode,load,0_mobilenet_v2-16,1_mobilenet_v2-16
mig,0.1,0.04863739013671875,0.0457763671875
mig,0.2,0.04649162292480469,0.047206878662109375
mig,0.3,0.04649162292480469,0.0476837158203125
mig,0.4,0.0476837158203125,0.04792213439941406
mig,0.5,0.9076595306396484,0.2090930938720703
mig,0.6,2.6383399963378906,1.374959945678711
mig,0.7,5.003213882446289,3.113985061645508
mig,0.8,11.730670928955078,4.619717597961426
mig,0.9,67.50130653381348,8.27932357788086
mig,1.0,2281.963348388672,64.64767456054688
