mode,load,0_efficientnet_b6-32,1_efficientnet_b6-32,2_efficientnet_b6-32,3_efficientnet_b6-32
mig,0.1,0.04506111145019531,0.04482269287109375,0.04208087921142578,0.04982948303222656
mig,0.2,0.033855438232421875,0.043392181396484375,0.03063678741455078,0.04744529724121094
mig,0.3,0.030994415283203125,0.029921531677246094,0.031232833862304688,0.03731250762939453
mig,0.4,0.03552436828613281,0.05519390106201172,0.02956390380859375,0.04863739013671875
mig,0.5,42.099714279174805,16.281604766845703,26.46327018737793,0.048041343688964844
mig,0.6,62.25395202636719,99.38907623291016,69.48268413543701,39.12925720214844
mig,0.7,125.61392784118652,124.8481273651123,155.3283929824829,200.33860206604004
mig,0.8,312.90388107299805,212.87870407104492,539.7608280181885,274.10340309143066
mig,0.9,1053.985357284546,2746.8910217285156,1735.910177230835,1552.391767501831
mig,1.0,3025.857448577881,4270.804643630981,4173.311710357666,2300.35138130188
