mode,load,0_efficientnet_b6-32,1_efficientnet_b6-32,2_efficientnet_b6-32,3_efficientnet_b6-32
mig,0.1,133.6984634399414,133.9123249053955,134.09137725830078,262.5693082809448
mig,0.2,133.7258815765381,133.92674922943115,134.14013385772705,262.70151138305664
mig,0.3,133.73041152954102,133.99171829223633,134.07611846923828,262.6253366470337
mig,0.4,133.9404582977295,134.18030738830566,134.240984916687,262.63701915740967
mig,0.5,134.11998748779297,134.39559936523438,134.33408737182617,262.93766498565674
mig,0.6,133.99553298950195,134.19461250305176,134.4008445739746,262.99524307250977
mig,0.7,134.6607208251953,134.89973545074463,134.94420051574707,264.0254497528076
mig,0.8,136.27707958221436,135.76650619506836,135.67018508911133,265.84410667419434
mig,0.9,138.89837265014648,139.0838623046875,138.30900192260742,266.4344310760498
mig,1.0,140.34295082092285,140.36083221435547,140.33055305480957,266.9098377227783
