mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,0.6661415100097656,0.6656646728515625,18.24355125427246
mps-uncap,0.9,0.6685256958007812,0.6680488586425781,18.77903938293457
mps-uncap,1.0,0.6740093231201172,0.6706714630126953,19.699811935424805
mps-uncap,0.5,0.6692409515380859,0.6666183471679688,16.618013381958008
mps-uncap,0.6,0.6687641143798828,0.6654262542724609,17.11440086364746
mps-uncap,0.7,0.6699562072753906,0.6661415100097656,17.4560546875
mps-uncap,0.1,0.6728172302246094,0.6709098815917969,15.851259231567383
mps-uncap,0.2,0.6718635559082031,0.6701946258544922,16.043663024902344
mps-uncap,0.3,0.6666183471679688,0.6730556488037109,16.52836799621582
mps-uncap,0.4,0.6706714630126953,0.6651878356933594,16.28565788269043
