mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,0.00667572021484375,0.0069141387939453125,0.013589859008789062
mps-uncap,0.9,0.0069141387939453125,0.007152557373046875,0.013589859008789062
mps-uncap,1.0,0.007152557373046875,0.0073909759521484375,0.028371810913085938
mps-uncap,0.5,0.0073909759521484375,0.008106231689453125,0.012636184692382812
mps-uncap,0.6,0.008821487426757812,0.0073909759521484375,0.012636184692382812
mps-uncap,0.7,0.007152557373046875,0.0069141387939453125,0.01239776611328125
mps-uncap,0.1,0.010013580322265625,0.00858306884765625,0.021696090698242188
mps-uncap,0.2,0.008344650268554688,0.007867813110351562,0.013828277587890625
mps-uncap,0.3,0.009059906005859375,0.0069141387939453125,0.013589859008789062
mps-uncap,0.4,0.008106231689453125,0.0073909759521484375,0.013113021850585938
