mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,0.35572052001953125,0.41222572326660156,12.923717498779297
mps-uncap,0.9,1.0008811950683594,1.1495351791381836,36.67426109313965
mps-uncap,1.0,3.733038902282715,5.643367767333984,902.8260707855225
mps-uncap,0.5,0.04363059997558594,0.041961669921875,0.051975250244140625
mps-uncap,0.6,0.040531158447265625,0.038623809814453125,0.06699562072753906
mps-uncap,0.7,0.05793571472167969,0.09763240814208984,3.482818603515625
mps-uncap,0.1,0.04315376281738281,0.041365623474121094,0.06651878356933594
mps-uncap,0.2,0.04291534423828125,0.04172325134277344,0.0642538070678711
mps-uncap,0.3,0.04267692565917969,0.041484832763671875,0.06330013275146484
mps-uncap,0.4,0.04076957702636719,0.03886222839355469,0.06031990051269531
