mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,0.6544589996337891,0.6539821624755859,18.221616744995117
mps-uncap,0.9,0.6566047668457031,0.6558895111083984,16.23678207397461
mps-uncap,1.0,0.6644725799560547,0.6604194641113281,15.975713729858398
mps-uncap,0.5,0.6585121154785156,0.6556510925292969,16.574382781982422
mps-uncap,0.6,0.6551742553710938,0.6544589996337891,16.66116714477539
mps-uncap,0.7,0.6582736968994141,0.6558895111083984,17.167091369628906
mps-uncap,0.1,0.6597042083740234,0.6594657897949219,15.801429748535156
mps-uncap,0.2,0.6594657897949219,0.6570816040039062,16.001462936401367
mps-uncap,0.3,0.6525516510009766,0.659942626953125,16.413450241088867
mps-uncap,0.4,0.6585121154785156,0.6532669067382812,16.263961791992188
