mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,7.060406208038328,7.00596809387207,130.46515226364133
mps-uncap,0.9,11.20836257934571,11.119332313537598,362.03915596008306
mps-uncap,1.0,22.674369812011708,29.559676647186283,1448.9854335784914
mps-uncap,0.5,2.9404067993164045,3.156459331512448,47.05410480499267
mps-uncap,0.6,3.6495995521545206,3.6748886108398433,55.91926574707025
mps-uncap,0.7,4.9211978912353445,4.608190059661866,100.28752326965322
mps-uncap,0.1,1.0315370559692383,1.0374784469604492,17.761836051940918
mps-uncap,0.2,1.3530063629150397,1.2793350219726558,23.969333171844447
mps-uncap,0.3,1.782679557800293,1.750307083129882,31.729276180267178
mps-uncap,0.4,2.2128796577453627,2.2901582717895463,32.6896071434021
