mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,1.0628700256347656,1.0516643524169922,22.774577140808105
mps-uncap,0.9,1.1491775512695312,1.191854476928711,25.219440460205078
mps-uncap,1.0,1.238107681274414,1.2879371643066406,27.454376220703125
mps-uncap,0.5,1.0862350463867188,1.0883808135986328,19.617080688476562
mps-uncap,0.6,1.0437965393066406,1.0440349578857422,20.27106285095215
mps-uncap,0.7,1.0213851928710938,1.0235309600830078,21.920442581176758
mps-uncap,0.1,1.1034011840820312,1.115560531616211,23.29540252685547
mps-uncap,0.2,1.0895729064941406,1.0886192321777344,20.593762397766113
mps-uncap,0.3,1.085042953491211,1.0752677917480469,18.872857093811035
mps-uncap,0.4,1.0592937469482422,1.0447502136230469,19.093871116638184
