mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,8.383734226226801,8.283224105834961,155.9551048278808
mps-uncap,0.9,12.488365173339847,12.515478134155273,384.0931272506714
mps-uncap,1.0,23.99024724960326,30.879027843475342,1477.928686141968
mps-uncap,0.5,4.215526580810542,4.431722164154049,66.4733266830444
mps-uncap,0.6,4.888553619384763,4.9322843551635716,77.58488655090326
mps-uncap,0.7,6.1180710792541495,5.852913856506348,120.06432533264159
mps-uncap,0.1,2.0408129692077637,2.084791660308838,41.478753089904785
mps-uncap,0.2,2.4595642089843768,2.541313171386718,44.0898585319519
mps-uncap,0.3,2.9394149780273455,2.919635772705067,50.75832605361937
mps-uncap,0.4,3.4939455986023016,3.5715103149414062,50.38701295852658
