mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,4.171848297119141,4.342842102050782,80.81629276275642
mps-uncap,0.9,6.108045578002926,6.636381149291992,170.91970443725592
mps-uncap,1.0,14.334034919738768,19.269132614135742,1370.800256729126
mps-uncap,0.5,2.428007125854492,2.446198463439942,37.56585121154785
mps-uncap,0.6,2.733969688415528,2.7451515197753906,48.02823066711426
mps-uncap,0.7,3.2559633255004883,3.3261775970458984,62.30826377868655
mps-uncap,0.1,1.3272523880004883,1.3246536254882812,29.414653778076172
mps-uncap,0.2,1.5845775604248047,1.5784740447998042,29.49972152709961
mps-uncap,0.3,1.8649101257324219,1.8564224243164067,33.3162784576416
mps-uncap,0.4,2.0433425903320317,2.044248580932617,33.240818977355964
