mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,3.0999183654785156,2.8595924377441406,27.241945266723633
mps-uncap,0.9,2.8235912322998047,2.8607845306396484,28.936386108398438
mps-uncap,1.0,2.8884410858154297,3.039836883544922,29.575109481811523
mps-uncap,0.5,2.8231143951416016,2.9296875,24.40190315246582
mps-uncap,0.6,2.84576416015625,2.956390380859375,25.15411376953125
mps-uncap,0.7,2.610445022583008,2.7823448181152344,27.31037139892578
mps-uncap,0.1,2.4514198303222656,2.3376941680908203,31.848907470703125
mps-uncap,0.2,2.580404281616211,2.767801284790039,30.30252456665039
mps-uncap,0.3,2.6819705963134766,2.6733875274658203,30.253887176513672
mps-uncap,0.4,2.601146697998047,2.7332305908203125,30.113697052001953
