mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,17.500638961791992,13.981103897094727,210.81829071044922
mps-uncap,0.9,24.240493774414062,19.02461051940918,453.9361000061035
mps-uncap,1.0,37.61935234069824,39.05916213989258,1554.9802780151367
mps-uncap,0.5,6.997346878051758,6.793737411499023,91.68601036071777
mps-uncap,0.6,8.856534957885742,8.615732192993164,101.61685943603516
mps-uncap,0.7,9.296894073486328,8.724212646484375,162.94550895690918
mps-uncap,0.1,1.9993782043457031,1.8329620361328125,27.73261070251465
mps-uncap,0.2,3.1964778900146484,4.046201705932617,38.69318962097168
mps-uncap,0.3,4.479169845581055,4.0950775146484375,55.6333065032959
mps-uncap,0.4,5.540370941162109,5.444765090942383,39.87622261047363
