mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,1.522064208984375,1.550912857055664,35.82179546356201
mps-uncap,0.9,2.2325515747070312,2.422213554382324,61.85746192932129
mps-uncap,1.0,5.04755973815918,6.99615478515625,930.8109283447266
mps-uncap,0.5,1.257181167602539,1.2547969818115234,20.711898803710938
mps-uncap,0.6,1.268148422241211,1.2598037719726562,21.86274528503418
mps-uncap,0.7,1.3321638107299805,1.3530254364013672,26.20983123779297
mps-uncap,0.1,1.1577606201171875,1.1692047119140625,27.2371768951416
mps-uncap,0.2,1.1641979217529297,1.16729736328125,21.248459815979004
mps-uncap,0.3,1.178741455078125,1.1677742004394531,20.42365074157715
mps-uncap,0.4,1.1742115020751953,1.1725425720214844,20.114541053771973
