mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,1.515698432922363,1.5072822570800781,25.005030632019043
mps-uncap,0.9,1.5292167663574219,1.5969276428222656,27.397823333740234
mps-uncap,1.0,1.6350746154785156,1.6998291015625013,28.685808181762695
mps-uncap,0.5,1.4007091522216797,1.3990640640258794,21.300697326660156
mps-uncap,0.6,1.4157533645629887,1.4166831970214844,22.238874435424805
mps-uncap,0.7,1.4193058013916016,1.4587640762329102,24.160718917846683
mps-uncap,0.1,1.219010353088379,1.2339353561401367,28.54475975036621
mps-uncap,0.2,1.2254714965820312,1.2286186218261719,28.1954288482666
mps-uncap,0.3,1.260995864868164,1.2503147125244143,21.800827980041504
mps-uncap,0.4,1.2924671173095703,1.3017654418945312,21.26133441925049
