mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,2127.291012456318,2150.7204054945923,457.9939734589126
mps-uncap,0.9,2420.9021431796355,2413.8564014962344,534.2506337386665
mps-uncap,1.0,2699.323796720167,2736.0889322464877,590.0929776027797
mps-uncap,0.5,1331.4045142620016,1338.234526207082,303.51680854996647
mps-uncap,0.6,1612.6962599285062,1604.1592858201907,343.299496785851
mps-uncap,0.7,1875.9377113934524,1881.4929593884183,397.29819933178027
mps-uncap,0.1,278.6491711505181,272.1049369270328,55.94574469674615
mps-uncap,0.2,550.417025881722,551.0221720249763,113.24752365581534
mps-uncap,0.3,817.4518566608562,823.0092764483489,168.3389294173332
mps-uncap,0.4,1088.5986711395767,1096.3435423624005,232.32092054100565
