mode,load,0_alexnet-4,1_alexnet-4,2_densenet201-16
mps-uncap,0.8,2.309083938598633,2.294454574584961,26.36263608932495
mps-uncap,0.9,2.2383594512939453,2.3064613342285156,28.429207801818848
mps-uncap,1.0,2.2962665557861306,2.36616849899292,29.185771942138672
mps-uncap,0.5,2.2241687774658194,2.2131514549255367,22.507143020629883
mps-uncap,0.6,2.2323203086853014,2.2463560104370113,24.00371551513671
mps-uncap,0.7,2.1619796752929688,2.246463298797608,25.92730522155761
mps-uncap,0.1,1.6451764106750488,1.665174961090088,29.917402267456055
mps-uncap,0.2,1.8817234039306665,1.9234704971313477,30.057854652404785
mps-uncap,0.3,2.012395858764649,2.006387710571286,28.747329711914062
mps-uncap,0.4,2.0777249336242676,2.1152734756469704,22.362513542175293
