mode,load,0_densenet121-2,1_inception_v3-16,2_vgg19-4
mps-uncap,0.8,109.92994999984522,833.9358838998254,624.1457006897808
mps-uncap,0.9,119.79250114655301,920.9648879569264,719.156019760126
mps-uncap,1.0,135.7215534841418,1028.542390258856,790.9378132191175
mps-uncap,0.5,69.70648442903277,492.80928287746286,389.9945317902911
mps-uncap,0.6,82.20165828648645,628.6180749112049,483.3168768521097
mps-uncap,0.7,93.94789321678962,706.2252365461871,552.5935950072485
mps-uncap,0.1,13.23626362753574,96.48632053784696,81.06324621161063
mps-uncap,0.2,27.833735555647237,195.11427674079596,155.56199865634179
mps-uncap,0.3,41.09046287032797,308.99985585676416,225.69694210192137
mps-uncap,0.4,54.466033144977686,401.0426584637164,315.6015752556702
