mode,load,0_densenet121-2,1_inception_v3-16,2_vgg19-4
mps-uncap,0.8,50.72399616241442,82.53459930419906,35.56271076202392
mps-uncap,0.9,114.08725738525385,111.19016647338867,79.41204071044898
mps-uncap,1.0,188.08629512786877,435.4196739196779,419.82281684875477
mps-uncap,0.5,35.09913444519042,31.537356376647917,13.10510635375977
mps-uncap,0.6,34.64662313461304,39.688348770141616,16.935849189758308
mps-uncap,0.7,44.72142219543456,40.94169139862061,25.145635604858395
mps-uncap,0.1,31.398296356201172,23.32605123519899,6.466417312622074
mps-uncap,0.2,34.452705383300774,23.93105030059814,8.251619338989267
mps-uncap,0.3,38.35513591766359,28.65933418273926,9.883346557617182
mps-uncap,0.4,38.61796855926514,32.242493629455545,11.227264404296843
