mode,load,0_densenet121-2,1_inception_v3-16,2_vgg19-4
mps-uncap,0.8,2.5022029876708984,4.258155822753906,2.82895565032959
mps-uncap,0.9,8.737564086914062,10.01429557800293,8.394241333007812
mps-uncap,1.0,29.0071964263916,105.95965385437012,86.44711971282959
mps-uncap,0.5,0.04673004150390625,0.04935264587402344,0.043392181396484375
mps-uncap,0.6,0.04410743713378906,0.04982948303222656,0.0457763671875
mps-uncap,0.7,0.051021575927734375,0.052928924560546875,1.1875629425048828
mps-uncap,0.1,0.06127357482910156,0.06031990051269531,0.05054473876953125
mps-uncap,0.2,0.05698204040527344,0.05650520324707031,0.04482269287109375
mps-uncap,0.3,0.05316734313964844,0.055789947509765625,0.048160552978515625
mps-uncap,0.4,0.051021575927734375,0.05435943603515625,0.04673004150390625
