mode,load,0_densenet121-2,1_inception_v3-16,2_vgg19-4
mps-uncap,0.8,13.01417350769043,14.7552490234375,5.38928508758545
mps-uncap,0.9,14.506721496582031,14.48369026184082,5.620622634887695
mps-uncap,1.0,14.026641845703125,15.563201904296875,5.733966827392578
mps-uncap,0.5,13.392877578735352,13.125467300415039,4.771232604980469
mps-uncap,0.6,13.242363929748535,13.256168365478516,5.01713752746582
mps-uncap,0.7,13.13605308532715,13.599991798400879,5.165529251098633
mps-uncap,0.1,18.54872703552246,13.810038566589355,3.8357973098754883
mps-uncap,0.2,18.144512176513672,12.68322467803955,4.285645484924317
mps-uncap,0.3,17.1600341796875,13.433122634887695,4.4233083724975595
mps-uncap,0.4,16.36028289794922,13.390111923217773,4.573726654052735
