mode,load,0_densenet161-8,1_densenet201-8,2_mobilenet_v3_small-8
mps-uncap,0.8,25.151968002319336,28.121471405029297,5.976676940917969
mps-uncap,0.9,36.61239147186279,40.53092002868652,7.614850997924805
mps-uncap,1.0,166.703462600708,153.58924865722656,28.722286224365234
mps-uncap,0.5,15.498638153076172,17.69876480102539,4.128217697143555
mps-uncap,0.6,16.054868698120117,18.073439598083496,3.8640499114990234
mps-uncap,0.7,17.861127853393555,18.73636245727539,4.4078826904296875
mps-uncap,0.1,22.832751274108887,26.75914764404297,5.990743637084961
mps-uncap,0.2,18.015623092651367,21.420955657958984,6.326198577880859
mps-uncap,0.3,17.287254333496094,20.895719528198242,5.758166313171387
mps-uncap,0.4,16.136765480041504,17.535686492919922,4.828333854675293
