mode,load,0_densenet161-8,1_densenet201-8,2_mobilenet_v3_small-8
mps-uncap,0.8,14.916419982910156,17.569780349731445,2.648591995239258
mps-uncap,0.9,16.034841537475586,18.67961883544922,2.6216506958007812
mps-uncap,1.0,16.607999801635742,19.100427627563477,2.6946067810058594
mps-uncap,0.5,13.624429702758789,14.907598495483398,2.768993377685547
mps-uncap,0.6,13.74959945678711,15.1214599609375,2.5256872177124023
mps-uncap,0.7,14.229059219360352,16.031503677368164,2.5451183319091797
mps-uncap,0.1,22.54188060760498,22.53890037536621,5.778789520263672
mps-uncap,0.2,17.32611656188965,20.39313316345215,5.786895751953125
mps-uncap,0.3,15.923023223876953,17.206311225891113,4.460811614990234
mps-uncap,0.4,13.817548751831055,15.369534492492676,3.920316696166992
