mode,load,0_densenet161-8,1_densenet201-8,2_mobilenet_v3_small-8
mps-uncap,0.8,0.012159347534179688,0.010251998901367188,0.008344650268554688
mps-uncap,0.9,0.011920928955078125,0.010728836059570312,0.008344650268554688
mps-uncap,1.0,0.012159347534179688,0.012159347534179688,0.0095367431640625
mps-uncap,0.5,0.011920928955078125,0.012159347534179688,0.007867813110351562
mps-uncap,0.6,0.011682510375976562,0.011205673217773438,0.008106231689453125
mps-uncap,0.7,0.010728836059570312,0.011920928955078125,0.008344650268554688
mps-uncap,0.1,0.012159347534179688,0.019550323486328125,0.011444091796875
mps-uncap,0.2,0.01239776611328125,0.012874603271484375,0.01049041748046875
mps-uncap,0.3,0.012159347534179688,0.010251998901367188,0.01049041748046875
mps-uncap,0.4,0.012159347534179688,0.012159347534179688,0.008821487426757812
