mode,load,0_densenet161-8,1_densenet201-8,2_mobilenet_v3_small-8
mps-uncap,0.8,386.96151041635414,338.29027487304137,2167.546259712653
mps-uncap,0.9,427.3063872470533,358.354431533996,2358.947339024034
mps-uncap,1.0,473.57908644734374,402.6591954473194,2657.295313782615
mps-uncap,0.5,236.84011942648885,205.94015301665794,1333.3296119367515
mps-uncap,0.6,278.8887768918977,250.59832504232511,1618.209142653976
mps-uncap,0.7,333.67548328001175,281.53316282509485,1872.3736170708407
mps-uncap,0.1,48.71441291466523,37.52256410607212,262.86906290069
mps-uncap,0.2,92.03266250542573,79.33454063839326,544.9811115471357
mps-uncap,0.3,137.90321948531835,119.76429908483159,800.898605385408
mps-uncap,0.4,189.2377319804793,159.68082872507614,1069.9116057733595
