mode,load,0_densenet161-8,1_densenet201-8,2_mobilenet_v3_small-8
mps-uncap,0.8,50.54121017456057,57.48524665832518,13.668227195739748
mps-uncap,0.9,103.9933204650879,99.47638511657715,17.31371879577637
mps-uncap,1.0,679.5889377593995,361.1266613006594,68.56355667114259
mps-uncap,0.5,14.038801193237305,16.719102859497074,5.790758132934573
mps-uncap,0.6,19.198179244995117,21.76356315612793,5.28745651245117
mps-uncap,0.7,28.653287887573253,24.64466094970705,7.59153366088868
mps-uncap,0.1,1.3166666030883813,0.072479248046875,2.798461914062501
mps-uncap,0.2,10.287284851074219,12.947511672973633,5.6730270385742205
mps-uncap,0.3,12.74728775024414,14.230060577392576,6.585574150085449
mps-uncap,0.4,14.484524726867676,13.883447647094734,6.055450439453124
