mode,load,0_densenet201-8,1_densenet201-8
mig,0.1,0.0591278076171875,0.058650970458984375
mig,0.2,0.055789947509765625,0.05841255187988281
mig,0.3,0.049591064453125,0.05328655242919922
mig,0.4,0.04482269287109375,0.05364418029785156
mig,0.5,0.06079673767089844,0.06079673767089844
mig,0.6,6.14476203918457,5.151510238647461
mig,0.7,9.827613830566406,9.22703742980957
mig,0.8,15.135049819946289,21.541953086853027
mig,0.9,45.22395133972168,38.33270072937012
mig,1.0,503.548264503479,166.66483879089355
