mode,load,0_densenet201-8,1_densenet201-8
mig,0.1,13.050317764282227,15.202522277832031
mig,0.2,13.033866882324219,15.163898468017578
mig,0.3,13.039827346801758,15.17343521118164
mig,0.4,13.030529022216797,15.180826187133789
mig,0.5,13.044595718383789,15.180110931396484
mig,0.6,13.036251068115234,15.182256698608398
mig,0.7,13.036727905273438,15.187501907348633
mig,0.8,13.03720474243164,15.184640884399414
mig,0.9,13.031482696533203,15.160560607910156
mig,1.0,13.049602508544922,15.175819396972656
