mode,load,0_densenet201-8,1_densenet201-8
mig,0.1,13.022184371948242,15.177249908447266
mig,0.2,13.007640838623047,15.145301818847656
mig,0.3,13.019561767578125,15.160322189331055
mig,0.4,12.99905776977539,15.157222747802734
mig,0.5,13.016700744628906,15.157938003540039
mig,0.6,13.004064559936523,15.155315399169922
mig,0.7,13.016939163208008,15.166997909545898
mig,0.8,13.003826141357422,15.154361724853516
mig,0.9,13.001680374145508,15.133857727050781
mig,1.0,12.997150421142578,15.145063400268555
