mode,load,0_densenet161-32,1_squeezenet1_1-4,2_vgg19-16
mps-uncap,0.8,743.1934380531312,72.55177736282353,218.22073698043798
mps-uncap,0.9,950.6746864318851,717.2486782073975,521.0254192352295
mps-uncap,1.0,3533.81407737732,2486.4374303817744,5594.76541519165
mps-uncap,0.5,203.4619569778441,21.230792999267575,65.79572677612286
mps-uncap,0.6,194.72020626068112,37.40789890289306,75.47225952148436
mps-uncap,0.7,297.8275680541991,50.6594181060791,144.47423934936538
mps-uncap,0.1,65.69785594940186,9.487588405609129,25.483071804046624
mps-uncap,0.2,74.83735561370848,11.685018539428716,37.091054916381836
mps-uncap,0.3,112.43991374969504,13.775405883789071,43.56445312499973
mps-uncap,0.4,121.71059846878076,19.536969661712643,53.395626544952435
