mode,load,0_densenet161-32,1_squeezenet1_1-4,2_vgg19-16
mps-uncap,0.8,79.18453216552734,2.178311347961426,25.68197250366211
mps-uncap,0.9,156.76558017730713,102.27489471435547,107.02157020568848
mps-uncap,1.0,2394.8256969451904,1249.561071395874,2385.5907917022705
mps-uncap,0.5,0.041484832763671875,0.023126602172851562,0.029802322387695312
mps-uncap,0.6,0.033855438232421875,0.025153160095214844,4.646778106689453
mps-uncap,0.7,0.03170967102050781,0.024557113647460938,8.059024810791016
mps-uncap,0.1,0.0438690185546875,0.04112720489501953,0.040531158447265625
mps-uncap,0.2,0.04315376281738281,0.03933906555175781,0.02956390380859375
mps-uncap,0.3,0.04220008850097656,0.028133392333984375,0.028848648071289062
mps-uncap,0.4,0.040650367736816406,0.027179718017578125,0.02765655517578125
