mode,load,0_densenet121-2,1_densenet169-8,2_efficientnet_b7-32
mps-uncap,0.8,31.871557235717773,45.61209678649902,58.16316604614258
mps-uncap,0.9,32.06920623779297,45.52626609802246,58.11929702758789
mps-uncap,1.0,34.92927551269531,44.29292678833008,59.42869186401367
mps-uncap,0.5,31.79144859313965,45.07255554199219,55.71413040161133
mps-uncap,0.6,33.57863426208496,43.454885482788086,56.23674392700195
mps-uncap,0.7,31.39662742614746,44.9984073638916,56.58435821533203
mps-uncap,0.1,31.474828720092773,44.00229454040527,52.9172420501709
mps-uncap,0.2,30.36808967590332,43.72859001159668,55.41706085205078
mps-uncap,0.3,33.02145004272461,42.81783103942871,55.20939826965332
mps-uncap,0.4,33.07151794433594,42.775869369506836,55.170536041259766
