mode,load,0_inception_v3-32,1_resnet18-16,2_vgg16-8
mps-uncap,0.8,705.943521152954,1337.2976508403701,764.4833812494544
mps-uncap,0.9,803.2741031109058,1504.5379019072952,861.0628507970018
mps-uncap,1.0,865.5635288306908,1658.1540529664835,965.3353808099905
mps-uncap,0.5,406.9261432295699,792.5926953102083,469.8196483240212
mps-uncap,0.6,528.5965979469548,995.4560220663252,580.3028478543749
mps-uncap,0.7,608.7702011857547,1157.6818233756296,662.0027418989637
mps-uncap,0.1,83.95413837013906,151.28291362027778,96.38185623047745
mps-uncap,0.2,193.6566196747931,338.09542991297536,185.81511101588123
mps-uncap,0.3,252.2563649746381,507.34029002662004,273.9811036944327
mps-uncap,0.4,368.5633329544048,649.7517814456263,374.12325997654864
