mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,814.9631831047851,4943.680200891358,483.2412062825646
mps-uncap,0.9,917.0077857859216,5505.833443890264,545.5470972615251
mps-uncap,1.0,1038.934903547976,6468.242805562278,604.860056478615
mps-uncap,0.5,506.16713823927716,3103.7944942074387,301.41173172433463
mps-uncap,0.6,614.927852790109,3720.0436033269325,361.88372886366955
mps-uncap,0.7,735.8974134577722,4371.700318885742,427.1752833677924
mps-uncap,0.1,98.97351112159735,611.2249369801134,63.19885407988038
mps-uncap,0.2,211.06316758486648,1233.281293360807,118.82536769012785
mps-uncap,0.3,313.56938408767553,1885.4543420636287,182.55017542266782
mps-uncap,0.4,405.98825983739414,2574.323240090585,249.58619573510353
