mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,28.323650360107422,54.052114486694336,37.15372085571289
mps-uncap,0.9,69.80705261230469,92.84210205078125,46.9968318939209
mps-uncap,1.0,266.47090911865234,294.18087005615234,154.87909317016602
mps-uncap,0.5,25.57373046875,24.573326110839844,11.126518249511719
mps-uncap,0.6,28.939247131347656,28.6562442779541,14.664649963378906
mps-uncap,0.7,24.486064910888672,26.17669105529785,22.069215774536133
mps-uncap,0.1,11.283159255981445,8.409500122070312,4.323005676269531
mps-uncap,0.2,15.56086540222168,25.55561065673828,4.5986175537109375
mps-uncap,0.3,17.410755157470703,21.69632911682129,6.888866424560547
mps-uncap,0.4,17.916440963745117,21.808385848999023,11.682510375976562
