mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,4.44748878479004,5.626184940338133,3.9955401420593257
mps-uncap,0.9,4.743297100067139,5.371663570404053,3.93282175064087
mps-uncap,1.0,4.958398342132568,5.52678108215332,4.11496639251709
mps-uncap,0.5,6.216468811035156,6.834912300109862,3.638086318969726
mps-uncap,0.6,5.499210357666015,6.4822912216186515,3.7695312500000004
mps-uncap,0.7,4.732913970947265,5.660629272460936,3.8993597030639644
mps-uncap,0.1,6.135196685791016,6.725540161132814,3.118813037872315
mps-uncap,0.2,5.9640884399414045,6.771874427795411,3.1926536560058594
mps-uncap,0.3,6.171166896820068,6.928081512451173,3.4528207778930655
mps-uncap,0.4,6.181626319885254,6.919662952423097,3.5678958892822266
