mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,30.833005905151367,59.00740623474121,40.23551940917969
mps-uncap,0.9,74.79405403137207,97.40138053894043,50.09150505065918
mps-uncap,1.0,270.1423168182373,298.88057708740234,158.69712829589844
mps-uncap,0.5,29.40988540649414,28.478384017944336,14.384746551513672
mps-uncap,0.6,32.31358528137207,32.9442024230957,17.668485641479492
mps-uncap,0.7,27.770519256591797,30.2579402923584,25.011301040649414
mps-uncap,0.1,16.34693145751953,14.261722564697266,6.307125091552734
mps-uncap,0.2,19.53721046447754,29.83999252319336,6.748676300048828
mps-uncap,0.3,21.007537841796875,25.643348693847656,9.297847747802734
mps-uncap,0.4,23.31399917602539,26.027917861938477,13.844728469848633
