mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,5.324125289916992,6.299018859863281,4.351377487182617
mps-uncap,0.9,5.514383316040039,6.250858306884766,4.906892776489258
mps-uncap,1.0,5.529642105102539,6.293296813964844,5.199193954467773
mps-uncap,0.5,7.271528244018555,8.163690567016602,4.09388542175293
mps-uncap,0.6,6.582021713256836,7.983207702636719,4.419803619384766
mps-uncap,0.7,5.824089050292969,7.0934295654296875,4.30750846862793
mps-uncap,0.1,6.316661834716797,6.83903694152832,4.1961669921875
mps-uncap,0.2,6.599903106689453,7.311344146728516,3.881692886352539
mps-uncap,0.3,6.92296028137207,8.511781692504883,4.253149032592773
mps-uncap,0.4,6.906986236572266,8.47005844116211,4.285335540771484
