mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,4.078507423400879,6.4972639083862305,4.14884090423584
mps-uncap,0.9,6.20579719543457,8.720755577087402,6.053686141967773
mps-uncap,1.0,32.6153039932251,68.91775131225586,37.940382957458496
mps-uncap,0.5,5.007505416870117,5.898714065551758,2.6597976684570312
mps-uncap,0.6,4.285335540771484,5.377531051635742,2.9304027557373047
mps-uncap,0.7,3.941774368286133,5.232334136962891,3.3000707626342773
mps-uncap,0.1,5.539178848266602,6.036996841430664,2.1904706954956055
mps-uncap,0.2,5.491018295288086,6.084203720092773,2.2270679473876953
mps-uncap,0.3,5.594015121459961,6.166696548461914,2.373218536376953
mps-uncap,0.4,5.498290061950684,6.094455718994141,2.5396347045898438
