mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-32,2_vgg16-2
mps-uncap,0.8,2.7965307235717773,4.425764083862305,2.6508569717407227
mps-uncap,0.9,3.15248966217041,4.557132720947266,2.8405189514160156
mps-uncap,1.0,3.6847591400146484,4.888772964477539,3.0875205993652344
mps-uncap,0.5,3.840923309326172,4.612565040588379,2.347230911254883
mps-uncap,0.6,3.606557846069336,4.20832633972168,2.438068389892578
mps-uncap,0.7,2.805948257446289,4.1637420654296875,2.5244951248168945
mps-uncap,0.1,5.400419235229492,5.906343460083008,2.129673957824707
mps-uncap,0.2,5.327343940734863,5.906939506530762,2.1393299102783203
mps-uncap,0.3,5.279421806335449,5.889892578125,2.2325515747070312
mps-uncap,0.4,4.678964614868164,5.63204288482666,2.299070358276367
