mode,load,0_alexnet-32,1_mobilenet_v2-32,2_resnet101-4
mps-uncap,1.0,4.354715347290039,10.964155197143555,17.426013946533203
mig,1.0,4.725456237792969,20.05314826965332,11.133432388305664
