mode,load,0_alexnet-32,1_mobilenet_v2-32,2_resnet101-4
mps-uncap,1.0,16.293764114379883,19.984722137451172,28.059720993041992
mig,1.0,12.459039688110352,24.484872817993164,19.06275749206543
