mode,load,0_alexnet-32,1_mobilenet_v2-32,2_resnet101-4
mps-uncap,1.0,6353.390801253075,2911.216516443266,231.6567616978725
mig,1.0,6694.3936349049445,1585.496520705914,357.8252991754444
